Index,Name,Type,BuyPrice,House1,House2,House3,House4,Hotel,Rent0,Rent1,Rent2,Rent3,Rent4,RentHotel
1,Ô Bắt Đầu,Start,0,0,0,0,0,0,0,0,0,0,0,0
2,Tokyo,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
3,Seoul,Property,700,350,450,550,650,1100,70,175,350,525,700,1750
4,Bangkok,Property,600,300,400,500,600,1000,60,150,300,450,600,1500
5,Singapore,Property,750,375,475,575,675,1150,75,188,375,563,750,1875
6,Manila,Property,550,275,375,475,575,950,55,138,275,413,550,1375
7,Ô Event,Event,0,0,0,0,0,0,0,0,0,0,0,0
8,Jakarta,Property,600,300,400,500,600,1000,60,150,300,450,600,1500
9,Beijing,Property,700,350,450,550,650,1100,70,175,350,525,700,1750
10,Ô Tai Nạn,Jail,0,0,0,0,0,0,0,0,0,0,0,0
11,Shanghai,Property,750,375,475,575,675,1150,75,188,375,563,750,1875
12,Hong Kong,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
13,Taipei,Property,650,325,425,525,625,1050,65,163,325,488,650,1625
14,Kuala Lumpur,Property,600,300,400,500,600,1000,60,150,300,450,600,1500
15,Hanoi,Property,550,275,375,475,575,950,55,138,275,413,550,1375
16,Ô Event,Event,0,0,0,0,0,0,0,0,0,0,0,0
17,Ho Chi Minh,Property,600,300,400,500,600,1000,60,150,300,450,600,1500
18,London,Property,1000,500,600,700,800,1400,100,250,500,750,1000,2500
19,Ô Tra Khảo,Quiz,0,0,0,0,0,0,0,0,0,0,0,0
20,Paris,Property,950,475,575,675,775,1350,95,238,475,713,950,2375
21,Berlin,Property,850,425,525,625,725,1250,85,213,425,638,850,2125
22,Rome,Property,900,450,550,650,750,1300,90,225,450,675,900,2250
23,Madrid,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
24,Amsterdam,Property,850,425,525,625,725,1250,85,213,425,638,850,2125
25,Ô Event,Event,0,0,0,0,0,0,0,0,0,0,0,0
26,Vienna,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
27,New York,Property,950,475,575,675,775,1350,95,238,475,713,950,2375
28,Ô Du Lịch,Travel,0,0,0,0,0,0,0,0,0,0,0,0
29,Los Angeles,Property,900,450,550,650,750,1300,90,225,450,675,900,2250
30,Chicago,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
31,Toronto,Property,750,375,475,575,675,1150,75,188,375,563,750,1875
32,Mexico City,Property,700,350,450,550,650,1100,70,175,350,525,700,1750
33,Ô Event,Event,0,0,0,0,0,0,0,0,0,0,0,0
34,São Paulo,Property,750,375,475,575,675,1150,75,188,375,563,750,1875
35,Sydney,Property,800,400,500,600,700,1200,80,200,400,600,800,2000
36,Da Nang,Property,750,375,475,575,675,1150,75,188,375,563,750,1875

